name,latitude,longitude,globalPlusCode,phone,website,beds,address,city,state,notes,mapsAddress
Hospital Bentong,3.5253125,101.9055625,6PM3GWG4+46,09-2223333,http://hspben.moh.gov.my/,152,"28700 Bentong,
Bentong, Pahang,
28700 Bentong,
Pahang",Bentong,Pahang,,"Jalan Padang, 28700 Bentong, Pahang"
Hospital Besut,5.7290625,102.4915625,6PQ4PFHR+JJ,09-6971130/09-6971200,,140,"Jalan Pasir Akar, Jerteh,
Besut, Terengganu,
22000 Besut,
Terengganu",Besut,Terengganu,,"Jerteh, Kampung Alor Keladi, Terengganu, 22000 Besut"
Hospital Betong,1.3739375,111.5738125,6PHH9HFF+HG,083-472821,,48,"Jalan Betong,
Betong, Sarawak,
95707 Betong,
Sarawak",Betong,Sarawak,,"Betong, 95700 Betong, Sarawak"
Hospital Bintulu,3.2296875,113.1010625,6PMM64H2+VC,086-255899,http://hbtu.moh.gov.my,284,"Jalan Nyabau,
Bintulu, Sarawak,
97000 Bintulu,
Sarawak",Bintulu,Sarawak,,"Jalan Bkt Nyabau, 97000 Bintulu, Sarawak"
Hospital Bukit Mertajam,5.3593125,100.4640625,6PQ29F57+PJ,04-5497333,http://jknpenang.moh.gov.my/hbm/,242,"Jalan Kulim, Bukit Mertajam,
Bukit Mertajam, Pulau Pinang,
14000 Bukit Mertajam,
Pulau Pinang",Bukit Mertajam,Pulau Pinang,,"Jalan Kulim, 14000 Bukit Mertajam, Pulau Pinang"
Hospital Changkat Melintang,4.312937499999999,100.9104375,6PP28W76+55,05-3761333,,50,"Lambor Kanan,Parit,
Bota, Perak,
32900 Bota,
Perak",Bota,Perak,,"Hospital Changkat Melintang Lambor Kanan,Parit Perak 32900, 32600 Bota, Perak"
Hospital Dalat,2.7451875,111.9460625,6PJHPWWW+3C,084-863213,,8,"Jalan Oya-Dalat,
Dalat, Sarawak,
96300 Dalat,
Sarawak",Dalat,Sarawak,,"Jalan Oya - Dalat, Pekan Dalat, 96300 Dalat, Sarawak"
Hospital Daro,2.5218125,111.4131875,6PJHGCC7+P7,084-823620,http://hdaro.moh.gov.my,46,"Jalan Itol,
Daro, Sarawak,
96200 Daro,
Sarawak",Daro,Sarawak,,"Jalan Itol Daro, Sarawak 96200 Daro Sarawak"
Hospital Duchess Of Kent,5.8585625,118.1034375,6PQWV453+C9,089-248 600                     Talian_Kecemasan:089-255 022,http://hdok.moh.gov.my,400,"KM 3.2, Jalan Utara,
Sandakan, Sabah,
90000 Sandakan,
Sabah",Sandakan,Sabah,,"KM 3.2, Jalan Utara, 90000 Sandakan, Sabah"
Hospital Dungun,4.751937499999999,103.4148125,6PP5QC27+QW,09-8483333,,100,"Hospital Dungun,
Dungun, Terengganu,
23000 Dungun,
Terengganu",Dungun,Terengganu,,"Jalan Paka, 23000 Kuala Dungun, Terengganu"
"Hospital Enche' Besar Hajjah Kalsom, Kluang",2.0080625,103.3470625,6PJ5285W+6R,07-7787000,,244,"KM 5, Jln Kota Tinggi,
86000 Kluang,
Johor",Kluang,Johor,,"Hospital Enche' Besar Hajjah Khalsom, Kluang KM 5, 91, 86000 Kluang, Johor"
Hospital Gerik,5.4290625,101.1279375,6PQ3C4HH+J5,05-7911333,http://hgerik.moh.gov.my,75,"Jalan Intan,
Grik, Perak,
33000 Grik,
Perak",Grik,Perak,,"Jalan Intan, Pekan Gerik, 33300 Gerik, Negeri Perak"
Hospital Gua Musang,4.8596875,101.9548125,6PP3VX53+VW,09-9121133,,34,"Bandar Baru,
Gua Musang, Kelantan,
18300 Gua Musang,
Kelantan",Gua Musang,Kelantan,,"Bandar Baru Gua Musang, 18300 Gua Musang, Kelantan"
Hospital Hulu Terengganu,5.0731875,103.0448125,6PQ532FV+7W,09-6813333/6813120,,119,"Batu 23, Jalan Kuala Berang,
Kuala Berang, Terengganu,
21700 Kuala Berang,
Terengganu",Kuala Berang,Terengganu,,"Batu 23, Jalan Kuala Berang, Kampung Batu 23, 21700 Kuala Berang, Terengganu"
Hospital Jasin,2.3049375,102.4284375,6PJ48C3H+X9,06-5294262,http://hjasin.moh.gov.my/,76,"77000 Jasin,
Jasin, Melaka,
77000 Jasin,
Melaka",Jasin,Melaka,,"Hospital Utama, 77000 Jasin, Melaka"
Hospital Jelebu,2.9503125,102.0590625,6PJ4X325+4J,06-6136355,,76,"71600 Jelebu,
Jelebu, Negeri Sembilan,
71600 Jelebu,
Negeri Sembilan",Jelebu,Negeri Sembilan,,"Taman Bukit Petaling, 71600 Kuala Klawang, Negeri Sembilan"
Hospital Jeli,5.701312499999999,101.8443125,6PQ3PR2V+GP,09-9440092,,24,"17600 Jeli,
Jeli, Kelantan,
17600 Jeli,
Kelantan",Jeli,Kelantan,,"Bandar Jeli, 17600 Jeli, Kelantan"
Hospital Jempol,2.9033125,102.4060625,6PJ4WC34+8C,06-4592000,,108,"Bandar Seri Jempol,
Bandar Seri Jempol, Negeri Sembilan,
72120 Bandar Seri Jempol,
Negeri Sembilan",Bandar Seri Jempol,Negeri Sembilan,,"Hospital Jempol, 72120 Bandar Seri Jempol, Negeri Sembilan"
Hospital Jengka,3.7731875,102.5516875,6PM4QHF2+7M,09-4662333,,70,"26400 Bandar Jengka,
Maran, Pahang,
26400 Maran,
Pahang",Maran,Pahang,,"Hospital Jengka, Bandar Jengka Maran, 26400 Bandar Tun Razak, Pahang"
Hospital Jerantut,3.9293125,102.3601875,6PM4W9H6+P3,09-2663333,http://hjerantut.moh.gov.my,77,"27000 Jerantut,
Jerantut, Pahang,
27000 Jerantut,
Pahang",Jerantut,Pahang,,"Taman Jaya, 27000 Jerantut, Pahang"
Hospital Jitra,6.2788125,100.4190625,6PR27CH9+GJ,04-9174333,http://hjitra.moh.gov.my,103,"Jalan Changlun, Jitra Kedah,
Jitra, Kedah,
06000 Jitra,
Kedah",Jitra,Kedah,,"Pekan Jitra, 06000 Jitra, Kedah"
Hospital Kajang,2.9928125,101.7928125,6PJ3XQVV+44,03-89133333,http://hkjg.moh.gov.my,306,"Jalan Semenyih,
Kajang, Selangor,
43000 Kajang,
Selangor",Kajang,Selangor,,"4, Jalan Semenyih, Bandar Kajang, 43000 Kajang, Selangor"
Hospital Kampar,4.3119375,101.1563125,6PP38564+QG,05-4653333,http://hkampar.moh.gov.my,90,"Jalan Hospital,
Kampar, Perak,
31500 Kampar,
Perak",Kampar,Perak,,"Jalan Hospital, Kampung Masjid, 31900 Kampar, Negeri Perak"
Hospital Kanowit,2.1028125,112.1523125,6PJJ4532+4W,084-752333,http://hkanowit.moh.gov.my,100,"Jalan Kanowit/ Durin,
Kanowit, Sarawak,
96700 Kanowit,
Sarawak",Kanowit,Sarawak,,"Jalan Kanowit / Durin, 96700 Kanowit, Sarawak"
Hospital Kapit,2.0138125,112.9426875,6PJJ2W7V+G3,084-796333,http://hkapit.moh.gov.my,134,"Jalan Memora,
Kapit, Sarawak,
96800 Kapit,
Sarawak",Kapit,Sarawak,,"Jalan Mamora, 96800 Kapit, Sarawak"
Hospital Kemaman,4.2319375,103.4203125,6PP56CJC+Q4,09-8513333,http://hkemaman.moh.gov.my,116,"Jalan Da' Omar, Cukai,
Kemaman, Terengganu,
24000 Kemaman,
Terengganu",Kemaman,Terengganu,,"Jalan Da' Omar, Cukai, 24000 Kemaman, Terengganu"
Hospital Keningau,5.3701875,116.1819375,6PQR95CJ+3Q,087-313000,http://hkgu.moh.gov.my,212,"Peti Surat 11,
Keningau, Sabah,
89007 Keningau,
Sabah",Keningau,Sabah,,"Peti Surat, 11, 89007 Keningau, Sabah"
Hospital Kepala Batas,5.5126875,100.4365625,6PQ2GC7P+3J,04-5793333,http:// jknpenang.moh.gov.my/hkb/,108,"Jalan Bertam, Kepala Batas,
Kepala Batas, Pulau Pinang,
13200 Kepala Batas,
Pulau Pinang",Kepala Batas,Pulau Pinang,,"Jalan Bertam 2, 13200 Kepala Batas, Pulau Pinang"
Hospital Kinabatangan,5.5849375,117.8504375,6PQVHVM2+X5,089-561858,http://hkbtgn.moh.gov.my,68,"W.D.T 200,
Kinabatangan, Sabah,
90020 Kinabatangan,
Sabah",Kinabatangan,Sabah,,"W.D.T 200 Kinabatangan,, 90200 Kinabatangan, Sabah"
Hospital Kota Belud,6.346187500000001,116.4261875,6PRR8CWG+FF,088-976333,http://hkotabelud.moh.gov.my,172,"Peti Surat 159,
Kota Belud, Sabah,
89158 Kota Belud,
Sabah",Kota Belud,Sabah,,"jalan hospital, 89158 Kota Belud, Sabah"
Hospital Kota Marudu,6.4573125,116.7760625,6PRRFQ4G+WC,088-661984,http://hkm.moh.gov.my,97,"Peti Surat 255,
Kota Marudu, Sabah,
89108 Kota Marudu,
Sabah",Kota Marudu,Sabah,,"Peti Surat 255, 89100 Kota Marudu, Sabah"
Hospital Kota Tinggi,1.7349375,103.8994375,6PH5PVMX+XQ,07-8831131/32,http://hkotatinggi.moh.gov.my,158,"Jalan Tun Habah,
Kota Tinggi, Johor,
81900 Kota Tinggi,
Johor",Kota Tinggi,Johor,,"Jalan Tun Habab, Pekan Kota Tinggi, 81900 Kota Tinggi, Johor"
Hospital Kuala Kangsar,4.7730625,100.9319375,6PP2QWFJ+6Q,05-7763333,,136,"Jalan Sultan Idris Shah 1,
Kuala Kangsar, Perak,
33000 Kuala Kangsar,
Perak",Kuala Kangsar,Perak,,"1648 Jalan Sultan Idris Shah, 1, Taman Mawar, 33000 Kuala Kangsar, Negeri Perak"
Hospital Kuala Kubu Bharu,3.5641875,101.6530625,6PM3HM73+M6,03-60641333,http://hkkb.moh.gov.my,120,"Jalan Hospital,
Kuala Kubu Bharu, Selangor,
44000 Kuala Kubu Bharu,
Selangor",Kuala Kubu Bharu,Selangor,,"Jalan Hospital, Pekan Kuala Kubu Bharu, 44000 Kuala Kubu Baru, Selangor"
Hospital Kuala Lipis,4.1825625,102.0555625,6PP453M4+26,09-3123333,,128,"27200 K.Lipis,
Kuala Lipis, Pahang,
27200 Kuala Lipis,
Pahang",Kuala Lipis,Pahang,,"27200 Kuala Lipis, Pahang"
Hospital Kuala Lumpur,3.1721875,101.6989375,6PM35MCX+VH,03-26155555,http://hkl.moh.gov.my/,2131,"Jalan Pahang,
Kuala Lumpur, WP Kuala Lumpur,
50586 Kuala Lumpur,
WP Kuala Lumpur",Kuala Lumpur,WP Kuala Lumpur,,"23, Jalan Pahang, 50586 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur"
Hospital Kuala Nerang,6.2526875,100.6098125,6PR27J35+3W,04-7867333,http://hknerang.moh.gov.my,72,"Kuala Nerang,
Kuala Nerang, Kedah,
06300 Kuala Nerang,
Kedah",Kuala Nerang,Kedah,,"Kuala Nerang, 06300 Kuala Nerang, Kedah"
Hospital Kuala Penyu,5.560312499999999,115.5855625,6PQQHH6P+46,087-853100,http://hspkpyu.moh.gov.my,48,"W.D.T. 35,
Kuala Penyu, Sabah,
89740 Kuala Penyu,
Sabah",Kuala Penyu,Sabah,,"89740 Kuala Penyu, Sabah"
Hospital Kudat,6.906687499999999,116.8379375,6PRRWR4Q+M5,088-613333,,180,"Peti Surat 22,
Kudat, Sabah,
89057 Kudat,
Sabah",Kudat,Sabah,,"Peti Surat 22, 89057 Kudat, Sabah"
Hospital Kulim,5.3931875,100.5730625,6PQ29HVF+76,04-4272733,http://hkulim.moh.gov.my/,281,"Jalan Mahang, Kulim,
Kulim, Kedah,
09000 Kulim,
Kedah",Kulim,Kedah,,"Lebuh Taman Perindustrian, Taman Kulim Hi-tech, 09090 Kulim, Kedah"
Hospital Kunak,4.6770625,118.2323125,6PPWM6GJ+RW,089-894100,http://hknk.moh.gov.my,48,"W.D.T. 150,
Kunak, Sabah,
91209 Kunak,
Sabah",Kunak,Sabah,,"W.D.T 150, Pekan Kunak, 91209 Kunak, Sabah"
Hospital Labuan,5.3111875,115.2300625,6PQQ866J+F2,087-423922/ 423919,,109,"Peti Surat 81006,
Labuan, WP Labuan,
87020 Labuan,
WP Labuan",Labuan,WP Labuan,,"Peti Surat 81006 Labuan, WP Labuan"
Hospital Lahad Datu,5.0266875,118.3136875,6PQW28G7+MF,089-895111,http://hldu.moh.gov.my,268,"Peti Surat 60065,
Lahad Datu, Sabah,
91110 Lahad Datu,
Sabah",Lahad Datu,Sabah,,"Jln Lahad Datu - Tawau, 91100 Lahad Datu, Sabah"
Hospital Langkawi,6.324812499999999,99.79843749999999,6MRX8QFX+W9,04-9665333,http://hlangkawi.moh.gov.my,110,"Bukit Tekuh,Jalan Padang Maksirat,
Langkawi, Kedah,
07000 Langkawi,
Kedah",Langkawi,Kedah,Name is different in maps and in moh table,"Jalan Bukit, 07000 Langkawi, Kedah"
Hospital Lawas,4.8544375,115.4045625,6PPQVC33+QR,085-283781,,46,"Jalan Hospital,
Lawas, Sarawak,
98850 Lawas,
Sarawak",Lawas,Sarawak,,"Jalan Hospital, 98850 Lawas, Sarawak"
Hospital Limbang,4.764312500000001,115.0190625,6PPQQ279+PJ,085-211200,http://hlimbang.moh.gov.my,100,"Jalan Pandaruan,
Limbang, Sarawak,
98700 Limbang,
Sarawak",Limbang,Sarawak,,"Jalan Pandaruan, 98700 Limbang, Sarawak"
Hospital Lundu,1.6755625,109.8528125,6PHFMVG3+64,082-735311,,46,"Jalan Sekambal,
Lundu, Sarawak,
94500 Lundu,
Sarawak",Lundu,Sarawak,,"94500 Lundu, Sarawak"
Hospital Machang,5.7631875,102.2258125,6PQ4Q67G+78,09-9741300/301,http://hmachang.moh.gov.my/,90,"Jalan Pasir Puteh,
Machang, Kelantan,
18500 Machang,
Kelantan",Machang,Kelantan,,"D18 Jalan Pasir Puteh, Kampung Bukit Tiu, 18500 Machang, Kelantan"
Hospital Marudi,4.1784375,114.3253125,6PPP58HG+94,085-755511,,54,"Jalan Pungor,
Marudi, Sarawak,
98050 Marudi,
Sarawak",Marudi,Sarawak,,"Hospital Marudi, Jalan Pungor, Marudi, 98050, Baram, Sarawak"
Hospital Melaka,2.2189375,102.2615625,6PJ46796+HJ,06-2892344,http://hmelaka.moh.gov.my/,1091,"Jalan Mufti Haji Khalil,
Melaka, Melaka,
75400 Melaka,
Melaka",Melaka,Melaka,,"Jalan Mufti Haji Khalil, 75400 Melaka"
Hospital Mersing,2.4294375,103.8453125,6PJ5CRHW+Q4,07-7993333,http://hmersing.moh.gov.my,55,"Jalan Ismail,
Mersing, Johor,
86800 Mersing,
Johor",Mersing,Johor,,"Jalan Ismail, Mersing Kechil, 86800 Mersing, Johor"
Hospital Mesra Bukit Padang,5.9504375,116.1053125,6PQRX424+54,088-240984,http://hmbp.moh.gov.my,270,"Peti Surat 11342,
Kota Kinabalu, Sabah,
88815 Kota Kinabalu,
Sabah",Kota Kinabalu,Sabah,,"PS 11342, Bukit Padang, Kota Kinabalu, Sabah, 88815 Kota Kinabalu"
Hospital Miri,4.3744375,113.9991875,6PPM9XFX+QM,085-420033,http://hmiri.moh.gov.my,333,"Jalan Cahaya,
Miri, Sarawak,
98000 Miri,
Sarawak",Miri,Sarawak,,"Jalan Cahaya, 98000 Miri, Sarawak"
Hospital Muadzam Shah,3.0538125,103.0909375,6PM5333R+G9,09-4523333,,49,"26700 Muadzam Shah,
Rompin, Pahang,
26700 Rompin,
Pahang",Rompin,Pahang,postcode is different,"Jalan Kemajuan, 26810 Muadzam Shah, Pahang"
Hospital Mukah,2.9008125,112.0763125,6PJJW32G+8G,084-871333,,80,"Jalan Haji Mohamed Pauzi,
Mukah, Sarawak,
96400 Mukah,
Sarawak",Mukah,Sarawak,,"Jln Hj Mohd Fauzi, 96400 Mukah, Sarawak"
Hospital Orang Asli,3.2919375,101.7309375,6PM37PRJ+Q9,,http://hoag.moh.gov.my/,93,"KM 24, Jalan Pahang Lama, 53100 Gombak, Selangor,
53100 Gombak,
Selangor",Gombak,Selangor,Name is different on Google Maps,"KM 24, Jalan Gombak, 53100 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur"
Hospital Pakar Sultanah Fatimah,2.0570625,102.5744375,6PJ43H4F+RQ,06-9521901,http://hpsf.moh.gov.my/v1/index.php/ms/,550,"Jalan Salleh,
Muar, Johor,
84000 Muar,
Johor",Muar,Johor,,"Jln Salleh, Taman Utama Satu, 84000 Muar, Johor"
Hospital Papar,5.726812499999999,115.9238125,6PQQPWGF+PG,088-913333,http://hpapar.moh.gov.my,77,"Peti Surat No. 6,,
Papar, Sabah,
89607 Papar,
Sabah",Papar,Sabah,Postcode is different,"Jalan New Hospital, Papar, 89600 Kota Kinabalu, Sabah"
Hospital Parit Buntar,5.1310625,100.4836875,6PQ24FJM+CF,05-7163333,http://hptar.moh.gov.my,100,"Jalan Sempadan,
Parit Buntar, Perak,
34200 Parit Buntar,
Perak",Parit Buntar,Perak,,"Jalan Sempadan, Kampung Permatang Tok Mamat, 34200 Parit Buntar, Negeri Perak"
Hospital Pasir Mas,6.0139375,102.1189375,6PR42479+HH,09-7932300,http://hmas.moh.gov.my/,120,"Jalan Meranti,
Pasir Mas, Kelantan,
17000 Pasir Mas,
Kelantan",Pasir Mas,Kelantan,,"Jalan Meranti Pasir Mas, Kelantan 17000 Pasir Mas Kelantan"
Hospital Pekan,3.5023125,103.3800625,6PM5G92J+W2,09-4223333,,110,"26600 Pekan,
Pekan, Pahang,
26600 Pekan,
Pahang",Pekan,Pahang,,"Jalan Batu Balik, Kampung Mengkasar, 26600 Pekan, Pahang"
Hospital Permai,1.5231875,103.7055625,6PH5GPF4+76,07-2373333,,1400,"Jalan Tampoi,
Johor Bahru, Johor,
81200 Johor Bahru,
Johor",Johor Bahru,Johor,,"Persiaran Kempas Baru, Kempas Banjaran, 81200 Johor Bahru, Johor"
Hospital Pitas,6.711937499999999,117.0296875,6PRVP26H+QV,088-676100,http://hpitas.moh.gov.my,48,"Peti Surat 88,
Pitas, Sabah,
89100 Pitas,
Sabah",Pitas,Sabah,,"Jalan Hospital, Pitas, 89100 Kota Marudu, Sabah"
Hospital Pontian,1.4984375,103.3851875,6PH5F9XP+93,07-6873333,,120,"Jalan Alsagoff,
Pontian, Johor,
82000 Pontian,
Johor",Pontian,Johor,,"Jln. Alsagoff, Kampung Dalam, 82000 Pontian, Johor"
Hospital Port Dickson,2.4776875,101.8550625,6PJ3FVH4+32,06-6487333,http://hpd.moh.gov.my/,94,"KM 11, Jalan Pantai,
Port Dickson, Negeri Sembilan,
71050 Port Dickson,
Negeri Sembilan",Port Dickson,Negeri Sembilan,,"KM 11,, Jalan Pantai, 71050 Port Dickson, Negeri Sembilan"
Hospital Pulau Pinang,5.4170625,100.3114375,6PQ2C886+RH,04-2225333,http://jknpenang.moh.gov.my/hpp/,1198,"Jalan Residensi,
Pulau Pinang, Pulau Pinang,
10990 Pulau Pinang,
Pulau Pinang",Pulau Pinang,Pulau Pinang,,"Jalan Residensi, 10990 George Town, Pulau Pinang"
Hospital Putrajaya,2.9290625,101.6741875,6PJ3WMHF+JM,03-83124200,http://hpj.moh.gov.my/,341,"Pusat Pentadbiran Kerajaan Persekutuan, presint 7,
Putrajaya, WP Putrajaya,
62250 Putrajaya,
WP Putrajaya",Putrajaya,WP Putrajaya,,"Jalan P9, Presint 7, 62250 Putrajaya, Wilayah Persekutuan Putrajaya"
Hospital Queen Elizabeth,5.9568125,116.0728125,6PQRX34F+P4,088-517555,http://qeh.moh.gov.my,775,"Karung Berkunci N0.2029,
Kota Kinabalu, Sabah,
88586 Kota Kinabalu,
Sabah",Kota Kinabalu,Sabah,,"13a, Jalan Penampang, 88200 Kota Kinabalu, Sabah"
Hospital Queen Elizabeth II,5.9664375,116.0938125,6PQRX38V+HG,088-245249,http://hqe2.moh.gov.my,291,"Lorong Bersatu, Jalan Damai Luyang, Kota Kinabalu,
Kota Kinabalu, Sabah,
88300 Kota Kinabalu,
Sabah",Kota Kinabalu,Sabah,,"Lorong Bersatu, Off, Jalan Damai, Luyang Commercial Centre, 88300 Kota Kinabalu, Sabah"
Hospital Raja Perempuan Zainab II,6.1253125,102.2456875,6PR446GW+47,09-7452000,http://hrpz2.moh.gov.my,937,"Jalan Hospital,
Kota Bharu, Kelantan,
15000 Kota Bharu,
Kelantan",Kota Bharu,Kelantan,postcode different,"15586, Jalan Hospital, Bandar Kota Bharu, 15200 Kota Bharu, Kelantan"
Hospital Raja Permaisuri Bainun,4.6023125,101.0965625,6PP3J32W+WJ,05-2533333,http://hrpb.moh.gov.my,990,"Jalan Hospital,
Ipoh, Perak,
30400 Ipoh,
Perak",Ipoh,Perak,,"Jalan Raja Ashman Shah, 30450 Ipoh, Negeri Perak"
Hospital Rajah Charles Brooke Memorial,1.3890625,110.3224375,6PHG98QC+JX,082-611123,,20,"Bt 13, Jalan Puncak Borneo, Kota Padawan,
Kuching, Sarawak,
93250 Kuching,
Sarawak",Kuching,Sarawak,,"Batu 13, Jalan Puncak Borneo, Kota Padawan, 93250, Kuching, Sarawak"
Hospital Ranau,5.9538125,116.6710625,6PQRXM3C+GC,088-875266,http://hranau.moh.gov.my,110,"Peti Surat 65,
Ranau, Sabah,
89300 Ranau,
Sabah",Ranau,Sabah,,"Peti Surat 65,, 89300 Ranau, Sabah"
Hospital Raub,3.809562499999999,101.8528125,6PM3RV53+R4,09-3553333,,89,"Jalan Tengku Abd Samad,
Raub, Pahang,
27600 Raub,
Pahang",Raub,Pahang,,"Jalan Tengku Abdul Samad, 27600 Raub, Pahang"
Hospital Rehabilitasi Cheras,3.1046875,101.7301875,6PM34P3J+V3,03-91453400,,156,"Jalan Yaacob Latif, Bandar Tun Razak Cheras 56000 Kuala Lumpur
WP Kuala Lumpur,
56000 Kuala Lumpur,
WP Kuala Lumpur",Kuala Lumpur,WP Kuala Lumpur,,"Jalan Yaacob Latif, Bandar Tun Razak, 56000 Cheras, Wilayah Persekutuan Kuala Lumpur"
Hospital Rompin,2.7960625,103.4960625,6PJ5QFWW+CC,09-4141305,,60,"Jalan Kg Kolam Kuala Rompin
26800 Rompin
Pahang,
26800 Rompin,
Pahang",Rompin,Pahang,,"Kampung Kolam, 26800 Kuala Rompin, Pahang"
Hospital Saratok,1.7474375,111.3398125,6PHHP8WQ+XW,083-436311,,106,"KM 1, Jalan Saratok,
Saratok, Sarawak,
95400 Saratok,
Sarawak",Saratok,Sarawak,,"Jalan Saratok, 95400 Saratok, Sarawak"
Hospital Sarikei,2.1319375,111.4920625,6PJH4FJR+QR,084-653333,http://hsarikei.moh.gov.my,212,"Jalan Rentap,
Sarikei, Sarawak,
96100 Sarikei,
Sarawak",Sarikei,Sarawak,,"Jalan Rentap, 96100 Sarikei, Sarawak"
Hospital Seberang Jaya,5.3951875,100.4066875,6PQ29CW4+3M,04-3827333,http://jknpenang.moh.gov.my/hsj/,314,"Jln Tun Hussein Onn, Perai,
Perai, Pulau Pinang,
13700 Perai,
Pulau Pinang",Perai,Pulau Pinang,,"Jalan Tun Hussein Onn, Seberang Jaya, 13700 Permatang Pauh, Pulau Pinang"
Hospital Segamat,2.4933125,102.8590625,6PJ4FVV5+8J,07-9433333,http://hsgm.moh.gov.my,314,"KM 6 Jalan Genuang,,
Segamat, Johor,
85000 Segamat,
Johor",Segamat,Johor,,"6, Jalan Genuang, Bandar Putra, 85000 Segamat, Johor"
Hospital Selama,5.213062499999999,100.6889375,6PQ26M7Q+6H,05-8394233,http://hselama.moh.gov.my,90,"Jalan Taiping,
Selama, Perak,
34100 Selama,
Perak",Selama,Perak,,"Jalan Taiping Selama, Perak 34100 Selama Perak"
Hospital Selayang,3.2431875,101.6468125,6PM36JVW+7P,03-61203233,http://hselayang.moh.gov.my,960,"Lebuhraya Selayang-Kepong,
Batu Caves, Selangor,
68100 Batu Caves,
Selangor",Batu Caves,Selangor,,"B21, Lebuhraya Selayang - Kepong, 68100 Batu Caves, Selangor"
Hospital Semporna,4.4828125,118.6044375,6PPWFJM3+4Q,089-781522,http://hspn.moh.gov.my,70,"Peti Surat 80,
Semporna, Sabah,
91307 Semporna,
Sabah",Semporna,Sabah,,"Pekan Semporna, 91308 Semporna, Sabah"
Hospital Sentosa,1.4629375,110.3298125,6PHGF87H+5W,082-612321,,338,"Batu 7, Jalan Penenrisen,
Kuching, Sarawak,
93250 Kuching,
Sarawak",Kuching,Sarawak,,"Batu 7, Jalan Penrissen, Kota Sentosa, 93250 Kuching, Sarawak"
Hospital Serdang,2.9761875,101.7201875,6PJ3XPGC+F3,03-89475555,http://hserdang.moh.gov.my,682,"Jalan Puchong,
Kajang, Selangor,
43000 Kajang,
Selangor",Kajang,Selangor,,"Jalan Puchong, 43000 Kajang, Selangor"
Hospital Seri Manjung,4.1858125,100.6623125,6PP25MP6+8W,05-689 6600,http://hsmanjung.moh.gov.my,305,"Seri Manjung,
32040 Seri Manjung,
Perak",Seri Manjung,Perak,,Seri Manjung 32040 Seri Manjung Perak
